                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
115,2.456,1.8878,0.96548,0.1733,0.18887,0.10529,0.03165,2.6645,2.3389,1.0292,0.0094357,0.0094357,0.0094357
120,2.4315,1.8323,0.96697,0.17737,0.17723,0.10256,0.03189,2.6414,2.3243,1.0297,0.0094109,0.0094109,0.0094109
153,2.3447,1.7418,0.96242,0.14437,0.17991,0.10206,0.03088,2.706,2.3609,1.0349,0.0092476,0.0092476,0.0092476
129,2.4434,1.8535,0.97279,0.17941,0.15263,0.10183,0.03048,2.7074,2.334,1.034,0.0093664,0.0093664,0.0093664
127,2.4118,1.8413,0.97024,0.16903,0.16418,0.10124,0.03015,2.6701,2.3993,1.0115,0.0093763,0.0093763,0.0093763
118,2.4627,1.8615,0.96612,0.15751,0.17967,0.10092,0.03241,2.66,2.3729,1.0296,0.0094208,0.0094208,0.0094208
109,2.474,1.9241,0.98249,0.1556,0.16861,0.10074,0.03173,2.6152,2.3662,1.0231,0.0094654,0.0094654,0.0094654
128,2.4078,1.8072,0.96818,0.16063,0.18663,0.10073,0.03147,2.6558,2.4068,1.0146,0.0093714,0.0093714,0.0093714
119,2.4726,1.9012,0.96175,0.12885,0.18977,0.09908,0.03065,2.6372,2.3342,1.0272,0.0094159,0.0094159,0.0094159
142,2.3994,1.7798,0.9675,0.15767,0.20561,0.09886,0.03175,2.6512,2.4226,1.0191,0.009302,0.009302,0.009302
131,2.3775,1.8002,0.96434,0.14433,0.15774,0.09878,0.03139,2.6758,2.347,1.02,0.0093565,0.0093565,0.0093565
161,2.3445,1.7322,0.95501,0.15613,0.19517,0.09859,0.02926,2.7425,2.3558,1.0711,0.009208,0.009208,0.009208
139,2.4183,1.8087,0.96775,0.14427,0.1808,0.09841,0.03223,2.6753,2.3566,1.0226,0.0093169,0.0093169,0.0093169
106,2.4865,1.8927,0.9671,0.18458,0.15035,0.0983,0.03259,2.6321,2.3917,1.0109,0.0094803,0.0094803,0.0094803
117,2.432,1.8607,0.98024,0.18297,0.16629,0.09827,0.03124,2.654,2.4078,1.0416,0.0094258,0.0094258,0.0094258
72,2.5366,2.0628,0.99752,0.16373,0.19275,0.09813,0.03044,2.5623,2.334,1.0122,0.0096486,0.0096486,0.0096486
105,2.4686,1.9441,0.96978,0.14568,0.16958,0.09787,0.03208,2.5842,2.3695,1.0135,0.0094852,0.0094852,0.0094852
125,2.4316,1.8391,0.95713,0.17099,0.1804,0.09779,0.03074,2.7065,2.399,1.038,0.0093862,0.0093862,0.0093862
77,2.5507,2.0417,0.99857,0.15107,0.19732,0.09763,0.03052,2.5906,2.3782,1.0153,0.0096238,0.0096238,0.0096238
79,2.528,2.035,0.99991,0.14294,0.17625,0.09761,0.03178,2.5989,2.3328,1.0171,0.0096139,0.0096139,0.0096139
130,2.4004,1.7974,0.98152,0.16578,0.16242,0.09722,0.0305,2.6659,2.3312,1.0241,0.0093615,0.0093615,0.0093615
201,2.2486,1.6254,0.94201,0.13823,0.18521,0.09719,0.02971,2.7414,2.3936,1.0551,0.00901,0.00901,0.00901
196,2.2654,1.6352,0.94068,0.14059,0.16948,0.09715,0.02897,2.7041,2.3475,1.0451,0.0090347,0.0090347,0.0090347
156,2.3628,1.7232,0.96123,0.17104,0.16393,0.09709,0.03068,2.654,2.3784,1.0331,0.0092327,0.0092327,0.0092327
246,2.1787,1.497,0.93739,0.14656,0.18995,0.09698,0.02891,2.7111,2.3995,1.0452,0.0087872,0.0087872,0.0087872
90,2.5068,1.9978,0.9733,0.16192,0.16281,0.0969,0.03158,2.5858,2.353,1.0109,0.0095595,0.0095595,0.0095595
94,2.5003,1.9422,0.97754,0.14601,0.19192,0.09689,0.03061,2.621,2.3531,1.0149,0.0095397,0.0095397,0.0095397
168,2.2861,1.6872,0.94954,0.1543,0.19466,0.09677,0.03098,2.6795,2.3444,1.0417,0.0091734,0.0091734,0.0091734
176,2.2999,1.6716,0.95327,0.15873,0.17977,0.09676,0.02927,2.7178,2.3922,1.0548,0.0091337,0.0091337,0.0091337
151,2.3826,1.744,0.95688,0.14884,0.20074,0.09637,0.02979,2.6203,2.3933,1.0191,0.0092575,0.0092575,0.0092575
143,2.3664,1.7825,0.95944,0.13136,0.20735,0.09629,0.03068,2.6947,2.3581,1.0607,0.0092971,0.0092971,0.0092971
101,2.4437,1.9346,0.9754,0.17904,0.17112,0.09625,0.02998,2.6195,2.349,1.0089,0.009505,0.009505,0.009505
121,2.4273,1.8658,0.9715,0.16349,0.18296,0.09624,0.02989,2.6231,2.3626,1.0183,0.009406,0.009406,0.009406
178,2.2689,1.6423,0.95675,0.17862,0.18313,0.09624,0.02987,2.6984,2.4204,1.0359,0.0091239,0.0091239,0.0091239
82,2.5145,2.001,0.99254,0.17434,0.16519,0.09624,0.02888,2.6917,2.383,1.0155,0.009599,0.009599,0.009599
202,2.2252,1.5922,0.94447,0.13962,0.17136,0.09619,0.03051,2.6835,2.3928,1.042,0.0090051,0.0090051,0.0090051
